id,generic_name,company_name,contact_info,presentation,update_type,update_date,availability,related_info,resolved_note,reason_for_shortage,therapeutic_category,status,change_date,date_discontinued
11515,Acyclovir Tablet,Apotex Corp.,800-706-5575,"Tablet, 400 Mg/1 (NDC 60505-5306-1)",New,4/26/24,,Business Related Decision To Discontinue The Product,,,Antiviral,To Be Discontinued,,4/26/24
11516,Acyclovir Tablet,Apotex Corp.,800-706-5575,"Tablet, 400 Mg/1 (NDC 60505-5306-8)",New,4/26/24,,Business Related Decision To Discontinue The Product,,,Antiviral,To Be Discontinued,,4/26/24
11517,Acyclovir Tablet,Apotex Corp.,800-706-5575,"Tablet, 800 Mg/1 (NDC 60505-5307-1)",New,4/26/24,,Business Related Decision To Discontinue The Product,,,Antiviral,To Be Discontinued,,4/26/24
11518,Acyclovir Tablet,Apotex Corp.,800-706-5575,"Tablet, 800 Mg/1 (NDC 60505-5307-5)",New,4/26/24,,Business Related Decision To Discontinue The Product,,,Antiviral,To Be Discontinued,,4/26/24
11519,"Albuterol Sulfate Powder, Metered","Teva Pharmaceuticals Usa, Inc.",800-545-8800,"Proair Digihaler, Powder, Metered, 90 Ug (NDC 59310-117-20)",New,4/30/24,,,,,Pulmonary/Allergy,To Be Discontinued,,4/30/24
11520,Albuterol Sulfate Solution,Nephron Pharmaceuticals Corporation,800-443-4313,"Albuterol Sulfate, Solution, 2.5 Mg/.5 Ml (NDC 0487-9901-30)",Revised,7/17/24,Available,,,,Pulmonary/Allergy; Pediatric,Current,,
11521,Alclometasone Dipropionate Cream,Sandoz Inc.,800-525-8747,"Cream, .5 Mg/1 G (NDC 0168-0263-15)",New,11/27/23,,,,Discontinuation Of The Manufacture Of The Drug,Dermatology,To Be Discontinued,,11/27/23
11522,Alclometasone Dipropionate Cream,Sandoz Inc.,800-525-8747,"Cream, .5 Mg/1 G (NDC 0168-0263-45)",New,11/27/23,,,,Discontinuation Of The Manufacture Of The Drug,Dermatology,To Be Discontinued,,11/27/23
11523,Alclometasone Dipropionate Cream,Sandoz Inc.,800-525-8747,"Cream, .5 Mg/1 G (NDC 0168-0263-60)",New,11/27/23,,,,Discontinuation Of The Manufacture Of The Drug,Dermatology,To Be Discontinued,,11/27/23
11524,Alprostadil Suppository,"Mylan Institutional, A Viatris Company",800-796-9526,"Muse, Suppository, 1000 Ug (NDC 0037-8140-06)",Revised,8/12/24,,,,,Urology,To Be Discontinued,8/12/24,8/12/24
11525,Alprostadil Suppository,"Mylan Institutional, A Viatris Company",800-796-9526,"Muse, Suppository, 500 Ug (NDC 0037-8130-06)",Revised,8/12/24,,,,,Urology,To Be Discontinued,8/12/24,8/12/24
11526,Alprostadil Suppository,"Mylan Institutional, A Viatris Company",800-796-9526,"Muse, Suppository, 250 Ug (NDC 0037-8120-06)",Revised,8/12/24,,,,,Urology,To Be Discontinued,8/12/24,8/12/24
11527,Amifostine Injection,"Clinigen, Inc.",877-776-5385,"Ethyol, Injection, 500 Mg/10 Ml (NDC 76310-017-50)",Revised,4/18/24,Unavailable,Temporary Discontinuation Of The Manufacture Of The Drug,,Discontinuation Of The Manufacture Of The Drug,Oncology; Other,Current,,
11528,Amino Acid Injection,Baxter Healthcare,888-229-0001,"Clinisol 15% Sulfite Free In Plastic Container, Injection, 0.15 (NDC 0338-0502-03)",Reverified,9/5/24,Available,,,,Gastroenterology,Current,,
11529,Amino Acid Injection,B. Braun Medical Inc.,800-227-2862,"Plenamine, Injection, 0.15 (NDC 0264-4500-05)",Reverified,9/3/24,Available,,,,Gastroenterology,Current,,
11530,Amino Acid Injection,Baxter Healthcare,888-229-0001,"Clinisol 15% Sulfite Free In Plastic Container, Injection, 0.15 (NDC 0338-0502-06)",Reverified,9/5/24,Available,,,,Gastroenterology,Current,,
11531,Amino Acid Injection,"Icu Medical, Inc.",1-866-829-9025 Or Productavailability@Icumed.Com,"Aminosyn-Pf 10%, Injection, 0.1 (NDC 0990-4179-05)",Reverified,9/4/24,Unavailable,"Icu Medical Acquired These Products From Hospira, A Pfizer Company. For Questions Or Inquiries Regarding These Hospira Labeled Products, Please Contact Icu Medical. Legacy Hospira Ndc 0409-4179-05",,Shortage Of An Active Ingredient,Gastroenterology,Current,,
11532,Amino Acid Injection,"Icu Medical, Inc.",1-866-829-9025 Or Productavailability@Icumed.Com,"Aminosyn-Pf 7%, Injection, 0.07 (NDC 0990-4178-03)",Reverified,9/4/24,Unavailable,"Icu Medical Acquired These Products From Hospira, A Pfizer Company. For Questions Or Inquiries Regarding These Hospira Labeled Products, Please Contact Icu Medical. Legacy Hospira Ndc 0409-4178-03",,Shortage Of An Active Ingredient,Gastroenterology,Current,,
11533,Amino Acid Injection,"Icu Medical, Inc.",1-866-829-9025 Or Productavailability@Icumed.Com,"Aminosyn Ii 10% In Plastic Container, Injection, 0.1 (NDC 0990-7172-17)",Reverified,9/4/24,Available,"Icu Medical Acquired These Products From Hospira, A Pfizer Company. For Questions Or Inquiries Regarding These Hospira Labeled Products, Please Contact Icu Medical. Legacy Hospira Ndc 0409-7172-17",,,Gastroenterology,Current,,
11534,Amino Acid Injection,"Icu Medical, Inc.",1-866-829-9025 Or Productavailability@Icumed.Com,"Aminosyn Ii 15% In Plastic Container, Injection, 0.15 (NDC 0990-7171-17)",Reverified,9/4/24,Available,"Icu Medical Acquired These Products From Hospira, A Pfizer Company. For Questions Or Inquiries Regarding These Hospira Labeled Products, Please Contact Icu Medical. Legacy Hospira Ndc 0409-7171-17",,,Gastroenterology,Current,,
