id,generic_name,company_name,presentation,update_type,update_date,availability,related_info,resolved_note,reason_for_shortage,therapeutic_category,status,change_date,date_discontinued
13405,Acyclovir Ointment,"Mylan Institutional, a Viatris Company","Acyclovir Ointment 5% 15gram Tube, Ointment, 5% 15gram (NDC 0378-8700-06)",New,9/16/24,,,,,Dermatology,To Be Discontinued,,9/16/24
13406,Acyclovir Ointment,"Mylan Institutional, a Viatris Company","Acyclovir Ointment 5% 5g 2pk, Ointment, 5% 5g (NDC 51079-550-68)",New,9/16/24,,,,,Dermatology,To Be Discontinued,,9/16/24
13407,Acyclovir Ointment,"Actavis Pharma, Inc.","Zovirax, Ointment, 50 mg/1 g (NDC 0591-1159-30)",New,3/3/25,,,,,Dermatology,To Be Discontinued,,3/3/25
13408,Adalimumab-adaz Injection,Sandoz Inc.,"Hyrimoz, Injection, 80 mg/.8 mL (NDC 61314-454-20)",New,4/14/25,,,,,Rheumatology,To Be Discontinued,,4/14/25
13409,Adalimumab-adaz Injection,Sandoz Inc.,"Hyrimoz, Injection, 20 mg/.2 mL (NDC 61314-476-64)",New,4/14/25,,,,,Rheumatology,To Be Discontinued,,4/14/25
13410,Adalimumab-adaz Injection,Sandoz Inc.,"Hyrimoz, Injection, 10 mg/.1 mL (NDC 61314-509-64)",New,4/14/25,,,,,Rheumatology,To Be Discontinued,,4/14/25
13411,Adalimumab-adbm Injection,"Boehringer Ingelheim Pharmaceuticals, Inc.","Cyltezo, Injection, Kit (NDC 0597-0375-16)",New,3/3/25,,,,,Rheumatology,To Be Discontinued,,3/3/25
13412,Adalimumab-adbm Injection,"Boehringer Ingelheim Pharmaceuticals, Inc.","Cyltezo, Injection, Kit (NDC 0597-0375-23)",New,3/3/25,,,,,Rheumatology,To Be Discontinued,,3/3/25
13413,Adalimumab-adbm Injection,"Boehringer Ingelheim Pharmaceuticals, Inc.","Cyltezo, Injection, Kit (NDC 0597-0495-40)",New,1/6/25,,,,,Rheumatology,To Be Discontinued,,1/6/25
13414,Adalimumab-adbm Injection,"Boehringer Ingelheim Pharmaceuticals, Inc.","Cyltezo, Injection, Kit (NDC 0597-0495-60)",New,1/6/25,,,,,Rheumatology,To Be Discontinued,,1/6/25
13415,Adalimumab-adbm Injection,"Boehringer Ingelheim Pharmaceuticals, Inc.","Cyltezo, Injection, Kit (NDC 0597-0575-40)",New,1/6/25,,,,,Rheumatology,To Be Discontinued,,1/6/25
13416,Adalimumab-adbm Injection,"Boehringer Ingelheim Pharmaceuticals, Inc.","Cyltezo, Injection, Kit (NDC 0597-0575-60)",New,1/6/25,,,,,Rheumatology,To Be Discontinued,,1/6/25
13417,Adalimumab-adbm Injection,"Boehringer Ingelheim Pharmaceuticals, Inc.","Cyltezo, Injection, Kit (NDC 0597-0545-44)",New,1/6/25,,,,,Rheumatology,To Be Discontinued,,1/6/25
13418,Adalimumab-adbm Injection,"Boehringer Ingelheim Pharmaceuticals, Inc.","Cyltezo, Injection, Kit (NDC 0597-0545-66)",New,1/6/25,,,,,Rheumatology,To Be Discontinued,,1/6/25
13419,Adefovir Dipivoxil Tablet,Apotex Corp.,"Adefovir Dipivoxil, Tablet, 10 mg (NDC 60505-3947-3)",New,7/29/25,,Discontinuation of the manufacture of the drug,,,Antiviral,To Be Discontinued,,7/29/25
13420,Albendazole Tablet,Strides Pharma Inc.,"Tablet, 200 mg (NDC 31722-935-02)",New,9/16/24,,Current Product distributor: Camber Pharmaceuticals. Product temporarily discontinued due to business related reasons.,,,Anti-Infective,To Be Discontinued,,9/16/24
13421,Albuterol Sulfate Solution,Nephron Pharmaceuticals Corporation,"Albuterol Sulfate, Solution, 2.5 mg/.5 mL (NDC 0487-9901-30)",Revised,7/2/25,Available,"Albuterol 0.5% is in stock, though demand remains high; additional supply can be produced as needed.",,Other,Pulmonary/Allergy; Pediatric,Current,,
13422,Albuterol Sulfate Solution,"Rising Pharma Holdings, Inc.","Albuterol Sulfate, Solution, 2.5 mg/.5 mL (NDC 64980-642-03)",Reverified,8/15/25,Available,,,,Pediatric; Pulmonary/Allergy,Current,,
13423,Albuterol Sulfate Solution,"Ritedose Pharmaceuticals, LLC","Albuterol Sulfate, Solution, 2.5 mg/.5 mL (NDC 76204-027-01)",Reverified,8/15/25,Available,,,,Pediatric; Pulmonary/Allergy,Current,,
13424,Albuterol Sulfate Syrup,"Actavis Pharma, Inc.","Syrup, 2 mg/5 mL (NDC 0472-0825-16)",New,11/4/24,,,,,Pulmonary/Allergy,To Be Discontinued,,11/4/24
13425,Amantadine Hydrochloride Capsule,"Teva Pharmaceuticals USA, Inc.","Amantadine Hydrochloride, Capsule, 100 mg (NDC 0591-4920-01)",New,2/5/25,,A business decision was made to discontinue manufacture of the drug.,,,Antiviral; Neurology,To Be Discontinued,,2/5/25
13426,Amantadine Hydrochloride Capsule,"Teva Pharmaceuticals USA, Inc.","Amantadine Hydrochloride, Capsule, 100 mg (NDC 0591-4920-05)",New,2/5/25,,A business decision was made to discontinue manufacture of the drug.,,,Antiviral; Neurology,To Be Discontinued,,2/5/25
13427,Amantadine Hydrochloride Capsule,Strides Pharma Inc.,"Amantadine Hydrochloride, Capsule, 100 mg (NDC 42543-493-01)",New,2/12/25,,Discontinuation of manufacture of drug based on business decision,,,Antiviral; Neurology,To Be Discontinued,,2/12/25
13428,Amantadine Hydrochloride Capsule,Strides Pharma Inc.,"Amantadine Hydrochloride, Capsule, 100 mg (NDC 42543-493-05)",New,2/12/25,,Discontinuation of manufacture of drug based on business decision,,,Antiviral; Neurology,To Be Discontinued,,2/12/25
13429,Amantadine Hydrochloride Capsule,"Upsher-Smith Laboratories, LLC","Amantadine Hydrochloride, Capsule, 100 mg (NDC 0832-1015-00)",New,7/23/25,,Discontinuation of the manufacture of the drug product,,,Antiviral; Neurology,To Be Discontinued,,7/23/25
13430,Amantadine Hydrochloride Capsule,"Upsher-Smith Laboratories, LLC","Amantadine Hydrochloride, Capsule, 100 mg (NDC 0832-1015-50)",New,7/23/25,,Discontinuation of the manufacture of the drug product,,,Antiviral; Neurology,To Be Discontinued,,7/23/25
13431,Amantadine Hydrochloride Tablet,"Upsher-Smith Laboratories, LLC","Amantadine Hydrochloride, Tablet, 100 mg (NDC 0832-0111-00)",New,7/23/25,,Discontinuation of the manufacture of the drug product,,,Antiviral; Neurology,To Be Discontinued,,7/23/25
13432,Amantadine Hydrochloride Tablet,"Upsher-Smith Laboratories, LLC","Amantadine Hydrochloride, Tablet, 100 mg (NDC 0832-0111-03)",New,7/23/25,,Discontinuation of the manufacture of the drug product,,,Antiviral; Neurology,To Be Discontinued,,7/23/25
13433,Amantadine Hydrochloride Tablet,"Upsher-Smith Laboratories, LLC","Amantadine Hydrochloride, Tablet, 100 mg (NDC 0832-0111-50)",New,7/23/25,,Discontinuation of the manufacture of the drug product,,,Antiviral; Neurology,To Be Discontinued,,7/23/25
13434,Ambrisentan Tablet,Apotex Corp.,"Ambrisentan, Tablet, 5 mg (NDC 60505-4552-3)",New,1/14/25,,,,,Cardiovascular,To Be Discontinued,,1/14/25
13435,Ambrisentan Tablet,Apotex Corp.,"Ambrisentan, Tablet, 10 mg (NDC 60505-4553-3)",New,1/14/25,,,,,Cardiovascular,To Be Discontinued,,1/14/25
13436,Amino Acid Injection,Baxter Healthcare,"Premasol 10% Sulfite Free in VIAFLEX Plastic Container, Injection, 0.1 (NDC 0338-1130-03)",Reverified,9/3/25,Available,,,,Gastroenterology,Current,,
13437,Amino Acid Injection,Baxter Healthcare,"Premasol 10% Sulfite Free in VIAFLEX Plastic Container, Injection, 0.1 (NDC 0338-1130-04)",Reverified,9/3/25,Available,,,,Gastroenterology,Current,,
13438,Amino Acid Injection,Baxter Healthcare,"Premasol 10% Sulfite Free in VIAFLEX Plastic Container, Injection, 0.1 (NDC 0338-1130-06)",Reverified,9/3/25,Available,,,,Gastroenterology,Current,,
13439,Amino Acid Injection,Baxter Healthcare,"PROSOL 20% SULFITE FREE IN PLASTIC CONTAINER, Injection, 2.76 g/100 mL; 1.96 g/100 mL; 600 mg/100 mL; 1.02 g/100 mL; 2.06 g/100 mL; 1.18 g/100 mL; 1.08 g/100 mL; 1.08 g/100 mL; 1.35 g/100 mL; 760 mg/100 mL; 1 g/100 mL; 1.34 g/100 mL; 1.02 g/100 mL; 980 mg/100 mL; 320 mg/100 mL; 50 mg/100 mL; 1.44 g/100 mL (NDC 0338-0499-06)",Reverified,9/3/25,Available,,,,Gastroenterology,Current,,
13440,Amino Acid Injection,Baxter Healthcare,"Travasol, Injection, 2.07 g/100 mL; 1.15 g/100 mL; 1.03 g/100 mL; 480 mg/100 mL; 600 mg/100 mL; 730 mg/100 mL; 580 mg/100 mL; 400 mg/100 mL; 560 mg/100 mL; 680 mg/100 mL; 500 mg/100 mL; 420 mg/100 mL; 180 mg/100 mL; 40 mg/100 mL; 580 mg/100 mL (NDC 0338-0644-03)",Revised,9/3/25,Limited Availability,Capacity constraint - Recovery in November 2025,,Other,Gastroenterology,Current,,
13441,Amino Acid Injection,Baxter Healthcare,"Travasol, Injection, 2.07 g/100 mL; 1.15 g/100 mL; 1.03 g/100 mL; 480 mg/100 mL; 600 mg/100 mL; 730 mg/100 mL; 580 mg/100 mL; 400 mg/100 mL; 560 mg/100 mL; 680 mg/100 mL; 500 mg/100 mL; 420 mg/100 mL; 180 mg/100 mL; 40 mg/100 mL; 580 mg/100 mL (NDC 0338-0644-04)",Reverified,9/3/25,Unavailable,Capacity constraint - Recovery in October 2025,,Other,Gastroenterology,Current,,
13442,Amino Acid Injection,Baxter Healthcare,"Travasol, Injection, 2.07 g/100 mL; 1.15 g/100 mL; 1.03 g/100 mL; 480 mg/100 mL; 600 mg/100 mL; 730 mg/100 mL; 580 mg/100 mL; 400 mg/100 mL; 560 mg/100 mL; 680 mg/100 mL; 500 mg/100 mL; 420 mg/100 mL; 180 mg/100 mL; 40 mg/100 mL; 580 mg/100 mL (NDC 0338-0644-06)",Reverified,9/3/25,Available,,,,Gastroenterology,Current,,
13443,Amino Acid Injection,B. Braun Medical Inc.,"TrophAmine 10%, Injection, 0.1 (NDC 0264-1933-10)",Reverified,8/21/25,Available,On allocation. Manufacturing delay.,,Other,Gastroenterology,Current,,
13444,Amino Acid Injection,B. Braun Medical Inc.,"Plenamine, Injection, 0.15 (NDC 0264-4500-05)",Reverified,8/21/25,Available,On allocation. Manufacturing delay.,,Other,Gastroenterology,Current,,
13445,Amino Acid Injection,Baxter Healthcare,"Clinisol 15% Sulfite Free In Plastic Container, Injection, 0.15 (NDC 0338-0502-03)",Reverified,9/3/25,Available,,,,Gastroenterology,Current,,
13446,Amino Acid Injection,B. Braun Medical Inc.,"Plenamine, Injection, 0.15 (NDC 0264-4500-00)",Reverified,8/21/25,Available,On allocation. Manufacturing delay.,,Other,Gastroenterology,Current,,
13447,Amino Acid Injection,Otsuka ICU Medical LLC,"Aminosyn II 15% In Plastic Container, Injection, 0.15 (NDC 0990-7171-17)",Reverified,8/20/25,Available,"This product is distributed by ICU Medical. For questions regarding this product, please contact ICU Medical.",,,Gastroenterology,Current,,
13448,Amino Acid Injection,Otsuka ICU Medical LLC,"Aminosyn II 10% In Plastic Container, Injection, 0.1 (NDC 0990-7172-17)",Reverified,8/20/25,Available,"This product is distributed by ICU Medical. For questions regarding this product, please contact ICU Medical.",,,Gastroenterology,Current,,
13449,Amino Acid Injection,Otsuka ICU Medical LLC,"Aminosyn-PF 7%, Injection, 0.07 (NDC 0990-4178-03)",Reverified,8/20/25,Unavailable,"Estimated recovery: TBD. This product is distributed by ICU Medical. For questions regarding this product, please contact ICU Medical.",,Shortage of an active ingredient,Gastroenterology,Current,,
