MarketingStatusID,ApplNo,ProductNo
3,000004,4
3,000159,1
3,000552,1
3,000552,2
3,000552,3
3,000552,4
3,000552,5
3,000552,7
3,000552,8
3,000552,9
3,000552,10
3,000552,11
3,000552,12
3,000552,13
3,000734,1
3,000734,2
3,000734,3
3,000793,2
3,000793,3
3,000793,4
3,000793,5
3,001104,1
1,001504,1
3,001546,1
3,002139,3
3,002282,1
3,002386,2
3,002386,3
3,002918,1
3,003158,1
3,003158,2
3,003240,1
3,003240,3
3,003240,4
3,003240,5
3,003402,1
1,003444,1
3,003718,4
3,003718,6
3,003718,8
3,003718,10
3,003977,1
3,003977,2
3,003977,3
3,004039,2
3,004039,3
3,004039,4
3,004039,5
3,004039,6
3,004040,1
3,004040,2
3,004041,2
3,004041,3
3,004041,4
3,004041,5
3,004054,1
3,004054,2
3,004056,1
3,004056,2
3,004056,3
3,004056,4
3,004056,5
3,004056,6
3,004056,7
3,004056,8
3,004056,9
3,004056,10
3,004056,11
3,004056,12
3,004056,13
3,004056,14
3,004056,17
3,004122,2
3,004125,5
3,004570,1
3,004570,2
3,004570,3
3,004589,4
1,004782,1
3,004782,2
1,004782,3
1,004782,4
1,004782,5
1,004782,6
3,005010,1
3,005010,2
3,005010,3
3,005010,4
3,005010,5
3,005010,7
3,005010,9
3,005151,1
1,005213,1
1,005213,2
3,005264,4
3,005264,6
3,005264,7
3,005264,8
3,005264,9
3,005264,10
3,005264,13
3,005264,14
3,005292,1
3,005292,2
3,005292,3
3,005319,1
1,005378,2
3,005378,3
3,005378,4
3,005378,5
3,005490,2
3,005490,3
3,005509,1
3,005509,3
3,005521,1
3,005521,2
3,005521,4
3,005545,3
3,005545,4
3,005545,5
3,005619,1
3,005620,1
3,005657,1
3,005691,2
3,005725,1
3,005794,1
3,005794,2
3,005795,1
3,005845,1
3,005845,4
3,005845,7
3,005856,2
3,005856,5
3,005856,9
3,005897,4
3,005897,8
3,005914,2
3,005914,4
3,005929,1
3,005932,12
1,005939,1
3,005963,1
3,005963,2
3,005963,3
3,005970,4
3,005970,5
3,006002,1
3,006002,2
3,006008,1
3,006012,3
3,006035,3
3,006035,4
3,006044,3
3,006071,3
3,006095,1
3,006110,5
3,006134,2
3,006134,4
3,006134,10
3,006135,3
3,006146,1
3,006146,2
3,006170,3
1,006188,1
3,006203,1
3,006213,1
3,006270,3
3,006309,1
3,006309,3
3,006317,7
3,006317,11
3,006317,12
3,006325,1
3,006327,2
3,006327,3
3,006328,1
3,006328,2
3,006333,8
3,006383,2
3,006383,3
3,006383,4
3,006403,5
3,006412,14
3,006412,15
3,006441,1
3,006459,1
3,006460,2
3,006460,3
3,006470,1
1,006488,2
3,006488,3
1,006488,4
1,006488,5
1,006488,7
1,006488,8
1,006488,10
1,006488,12
1,006488,17
1,006488,18
1,006488,19
3,006514,4
3,006525,1
3,006530,3
3,006530,4
3,006536,1
3,006536,2
3,006536,3
3,006536,4
3,006536,5
3,006580,1
3,006620,1
