ApplNo,ProductNo,MarketingStatusID,TECode
003444,1,1,AA
004782,1,1,AB
004782,3,1,AB
004782,4,1,AB
004782,5,1,AB
004782,6,1,AB
005213,1,1,AA
005213,2,1,AA
005378,2,1,AA
005929,1,1,AP
006035,4,1,AP
006188,1,1,AB
006488,2,1,AP
006488,4,1,AP
006488,5,1,AP
006488,7,1,AP
006488,8,1,AP
006488,10,1,AP
006488,12,1,AP
006488,17,1,AP
006488,19,1,AP
007073,1,1,AB
007073,2,1,AB
007337,7,1,AA
007513,1,1,AP
008316,1,1,AB
008370,1,1,AP
008370,2,1,AP
008453,2,1,AP
008578,1,1,AB
008697,1,1,AB
008697,2,1,AB
008697,3,1,AB
008708,1,1,AB
008762,1,1,AB
008845,6,1,AP
009053,2,1,AB
009112,3,1,AT
009170,2,1,AB
009170,3,1,AB
009175,1,1,AB
009330,2,1,AP
009402,2,1,AO
009402,3,1,AO
009402,4,1,AO
009435,2,1,AP
009435,6,1,AP
009435,7,1,AP
009768,1,1,AB
009829,2,1,AB
009830,1,1,AP
009866,1,1,AP
010104,3,1,AB
010187,3,1,AB
010187,6,1,AB
010187,10,1,AB
010379,1,1,AB
010379,2,1,AB
010379,3,1,AB
010515,1,1,AP
010596,8,1,AB
010721,1,1,AA
010721,4,1,AA
010721,5,1,AA
010721,6,1,AA
011145,5,1,AP
011153,1,1,AB
011153,2,1,AB
011153,3,1,AB
011153,4,1,AB
011153,6,1,AB
011210,1,1,AA
011245,3,1,AA
011265,2,1,AA
011366,2,1,AB
011459,2,1,AB
011459,4,1,AB
011525,1,1,AP
011559,1,1,AP
011665,1,1,AB
011719,10,1,AP
011719,12,1,AP
011757,1,1,AB
011757,2,1,AB
011757,4,1,AB
011790,1,1,AP
011792,1,1,AA
011792,4,1,AB
011839,1,1,AB
011839,3,1,AB
011839,4,1,AB
011856,3,1,AP
011856,4,1,AP
011856,5,1,AP
011856,6,1,AP
011856,7,1,AP
011909,2,1,AB
012041,1,1,AB
012093,1,1,AB
012093,7,1,AB
012104,1,1,AT
012151,8,1,AB
012151,9,1,AB
012151,10,1,AB
012179,1,1,AT
012250,1,1,AP
012250,2,1,AP
012250,5,1,AP
012342,3,1,AB
012380,1,1,AB
012462,1,1,AA
012616,4,1,AB
012623,1,1,AB
012623,3,1,AB
012750,1,1,AB
012770,1,1,AT
012787,2,1,AT
012787,4,1,AT
012787,5,1,AT
012806,1,1,AT
012827,1,1,AA
012827,2,1,AA
012836,3,1,AB
012836,4,1,AB
012836,5,1,AB
013025,2,1,AP
013174,1,1,AB
013174,2,1,AB
013217,3,1,AB
013263,2,1,AB
013263,4,1,AB
013263,6,1,AB
013684,1,1,AP
013684,2,1,AP
013684,3,1,AP
013684,4,1,AP
013684,5,1,AP
013684,6,1,AP
013684,7,1,AP
013684,8,1,AP
013790,1,1,AT
013960,1,1,AT
014399,1,1,AB
014399,3,1,AB
014399,4,1,AB
014399,5,1,AB
014399,6,1,AB
014399,7,1,AB
014602,1,1,AB
014879,1,1,AP
014901,1,1,AB
015034,3,1,AB
015193,1,1,AA
015197,1,1,AB
015197,2,1,AB
015230,2,1,AA
015296,1,1,AT
016084,1,1,AB
016084,2,1,AB
016084,3,1,AB
016092,1,1,AB
016093,1,1,AP
016151,1,1,AB
016199,1,1,AB
016267,1,1,AP
016269,6,1,AP
016273,1,1,AB
016273,2,1,AB
016273,3,1,AB
016295,1,1,AB
016320,1,1,AB
016320,3,1,AB
016324,1,1,AB
016366,1,1,AP
016367,2,1,AP
016608,1,1,AB
016619,1,1,AP
016620,1,1,AB
016620,2,1,AB
016620,3,1,AB
016673,1,1,AP
016673,3,1,AP
016677,1,1,AP
016677,3,1,AP
016678,1,1,AP
016679,1,1,AP
016682,1,1,AP
016683,1,1,AP
016687,1,1,AP
016689,1,1,AP
016693,1,1,AP
016694,1,1,AP
016697,1,1,AP
016730,1,1,AP
016730,2,1,AP
016733,1,1,AT
016734,1,1,AT
016750,1,1,AP
016784,1,1,AT
016796,1,1,AP
016812,1,1,AP
016812,2,1,AP
016812,3,1,AP
016831,1,1,AT
016831,3,1,AB
016851,2,1,AB
016908,3,1,AB2
016909,2,1,AB
016964,1,1,AP
016964,4,1,AP
016964,5,1,AP
016964,6,1,AP
016964,7,1,AP
016964,8,1,AP
016964,9,1,AP
016964,10,1,AP
016964,12,1,AP
016964,13,1,AP
017001,1,1,AB
017001,2,1,AB
017010,1,1,AB
017011,1,1,AB
017016,7,1,
017029,1,1,AP
017029,3,1,AP
017029,4,1,AP
017029,10,1,AP
017029,13,1,AP
017029,14,1,AP
017029,15,1,AP
017029,16,1,AP
017029,19,1,AP
017037,1,1,AP
017037,2,1,AP
017037,3,1,AP
017037,13,1,AP
017058,1,1,AA
017060,1,1,AB1
017078,1,1,AB
017078,2,1,AB
017078,3,1,AB
017105,7,1,AB
017116,2,1,AA
017340,1,1,AB
017354,1,1,AB
017355,1,1,AB
017362,2,1,AO
017373,1,1,AB
017376,1,1,AB
017376,2,1,AB
017377,1,1,AB
017377,2,1,AB
017378,1,1,AP
017378,2,1,AP
017381,1,1,AB
017398,1,1,AP
017422,1,1,AP
017426,1,1,AB
017427,1,1,AT
017428,1,1,AT
017433,1,1,AT
017433,2,1,AT
017441,1,1,BP
017442,1,1,AB
017442,2,1,AB
017442,3,1,AB
017443,1,1,AB
017443,2,1,AB
017443,3,1,AB
017447,1,1,AB
017447,2,1,AB
017453,1,1,AB
017464,1,1,AP
017469,1,1,AB
017478,1,1,BS
017512,4,1,AT
017512,5,1,AT
017512,6,1,AT
017512,12,1,AT
017512,13,1,AT
017512,14,1,AT
017512,15,1,AT
017513,1,1,AT
017514,1,1,AT
017522,1,1,AB1
017530,1,1,AP
017532,1,1,AB2
017532,2,1,AB2
017532,3,1,AB2
017533,1,1,AB
017533,2,1,AB
017533,3,1,AB
017534,5,1,AA
017538,1,1,AP
017555,1,1,AB
017555,2,1,AB
017555,3,1,AB
017556,1,1,AB
017558,1,1,AP
017563,3,1,AB
