id,generic_name,company_name,presentation,update_type,update_date,availability,related_info,resolved_note,reason_for_shortage,therapeutic_category,status,change_date,date_discontinued,ndc,availability_status
1,Abciximab (ReoPro) Injection,"Janssen Biotech, Inc.",2mg/mL (NDC 57894-200-01),Revised,8/15/19,,Janssen has made a business decision to discontinue manufacture of the drug product.,,,Cardiovascular,To be Discontinued,8/15/19,8/15/19,57894-200-01,discontinued
2,Acarbose (Precose) Tablets,Bayer,Bottles of 100 Tablets 25 mg (NDC 50419-863-51),New,2/1/19,,Business decision to discontinue marketing in the US.,,,Endocrinology/Metabolism,To be Discontinued,2/1/19,2/1/19,50419-863-51,discontinued
3,Acarbose (Precose) Tablets,Bayer,Bottles of 100 Tablets 50 mg (NDC 50419-861-51),New,2/1/19,,Business decision to discontinue marketing in the US.,,,Endocrinology/Metabolism,To be Discontinued,2/1/19,2/1/19,50419-861-51,discontinued
4,Acarbose (Precose) Tablets,Bayer,Bottles of 100 Tablets 100 mg (NDC 50419-862-51),New,2/1/19,,Business decision to discontinue marketing in the US.,,,Endocrinology/Metabolism,To be Discontinued,2/1/19,2/1/19,50419-862-51,discontinued
5,Acarbose (Precose) Tablets,Bayer,Unit Dose 50 mg (NDC 50419-861-48),New,2/1/19,,Business decision to discontinue marketing in the US.,,,Endocrinology/Metabolism,To be Discontinued,2/1/19,2/1/19,50419-861-48,discontinued
6,Acyclovir (Zovirax) Tablets and Capsules,Mylan Pharmaceuticals Inc.,Acyclovir (Zovirax) 200mg Capsules 100s (NDC 40076-991-55),New,12/21/18,,,,,Anti-Infective,To be Discontinued,12/21/18,12/21/18,40076-991-55,discontinued
7,Acyclovir (Zovirax) Tablets and Capsules,Mylan Pharmaceuticals Inc.,Acyclovir (Zovirax) 400mg Tablets 100s (NDC 40076-949-55),New,12/21/18,,,,,Anti-Infective,To be Discontinued,12/21/18,12/21/18,40076-949-55,discontinued
8,Acyclovir (Zovirax) Tablets and Capsules,Mylan Pharmaceuticals Inc.,Acyclovir (Zovirax) 800mg Tablets 100s (NDC 40076-945-55),New,12/21/18,,,,,Anti-Infective,To be Discontinued,12/21/18,12/21/18,40076-945-55,discontinued
9,"Acyclovir Capsules, USP",Teva Pharmaceuticals,"200 mg, 100 count (NDC 0093-8940-01)",New,3/21/19,,Teva made a business decision to discontinue product.,,,Antiviral,To be Discontinued,3/21/19,3/21/19,0093-8940-01,discontinued
10,"Acyclovir Capsules, USP",Teva Pharmaceuticals,"200 mg, 500 count (NDC 0093-8940-05)",New,3/21/19,,Teva made a business decision to discontinue product.,,,Antiviral,To be Discontinued,3/21/19,3/21/19,0093-8940-05,discontinued
11,"Acyclovir Tablets, USP",Teva Pharmaceuticals,"400 mg, 100 count (NDC 0093-8943-01)",New,3/21/19,,Teva made a business decision to discontinue product.,,,Antiviral,To be Discontinued,3/21/19,3/21/19,0093-8943-01,discontinued
