Availability Information,Related Information,Status,Availability Status
discontinued,discontinued,discontinued,discontinued
On backorder – expected release the week of late December/early January,,Current,not available
On backorder – expected release the week of 12/16/2019,,Current,not available
On backorder – expected release the week of 01/27/2020,,Current,not available
Product available.,,Current,available
Limited Supply Available. Next Delivery and Estimated Recovery: December 2019,Check Wholesaler for Availability Shortage per Manufacturer: Manufacturing Delay,Current,limited availability
Available,,Current,available
Available; allocating inventory.,Product is on allocation to its current committed customers.,Current,limited availability
Product is Available,,Current,available
Out of Stock – Resupply TBD,,Current,not available
Product under allocation,Stocks available to support customer demand,Current,limited availability
Allocating inventory,Rolling backorders into December 2019; Expected recovery March 2020,Current,limited availability
Estimated availability: January 2020,,Current,not available
Available and shipping,,Current,available
Available.  For further information and to sign up for supply alerts by Jazz Pharmaceuticals please visit Erwinazesupply.com https://erwinazesupply.com/,,Current,available
Next Delivery: March 2020; Estimated Recovery: December 2020,Check Wholesaler for Availability Shortage per Manufacturer: Manufacturing Delay,Current,not available
Next Delivery: March 2020; Estimated Recovery: August 2020,Shortage per Manufacturer: Manufacturing Delay,Current,not available
Next Delivery: January 2020; Estimated Recovery: April 2020,Shortage per Manufacturer: Manufacturing Delay,Current,not available
Next Delivery: January 2020; Estimated Recovery: December 2020,Check Wholesaler for Availability Shortage per Manufacturer: Manufacturing Delay,Current,not available
Limited Availability,"American Regent is currently releasing the 0.4mg/mL, 1 mL vial, NDC 00517-0401-25",Current,limited availability
"January 2020, has inventory",,Current,available
Availability limited to product already in pharmacies until resumption of manufacturing in January 2020 and distribution in February 2020,Currently qualifying alternate supplier of inactive ingredient,Current,limited availability
On backorder. Expected release early January 2020,,Current,not available
"No disruption to existing patients is anticipated. Until further notice, BMS will continue to limit distribution of NULOJIX via the US NULOJIX Distribution Program, initiated 15-Feb-2017. Starting in August 2018, the restrictions of the NDP will be eased to allow for expansion of use to appropriate new patients if the treating physician determines that Nulojix is the best treatment option for the patient.  For further information, contact BMS Medical Information.",Increased demand for the drug exacerbated by a delay in transition to a more efficient manufacturing process.,Current,limited availability
"Temporary back-order, additional lots available end of December/January 2020",,Current,limited availability
Inventory is currently available.,Additional lots are scheduled to be manufactured in the October - November 2019 timeframe. Product will be made available as it is released.,Current,available
Next Delivery: December 2019; Estimated Recovery: January 2020,Shortage per Manufacturer: Manufacturing Delay,Current,not available
