Generic Name,Company Name, Contact Info, Presentation, Type of Update,Date of Update, Availability Information, Related Information, Resolved Note, Reason for Shortage, Therapeutic Category, Status, Change Date, Date Discontinued, Initial Posting Date, Generic Name Note, Generic Name Link , Company Info Link, Availability Link, Related Info Link,   Resolved Note Link, Discontinued Note Link
Abciximab (ReoPro) Injection,"Janssen Biotech, Inc.",800-586-7736,2mg/mL (NDC 57894-200-01),Revised,8/15/2019,"
",Janssen has made a business decision to discontinue manufacture of the drug product.,"
","
",Cardiovascular,To be Discontinued,8/15/2019,8/15/2019,4/11/2018,"
","
","
","
","
","
","
"
Acarbose (Precose) Tablets,Bayer,888-842-2937,Bottles of 100 Tablets 25 mg (NDC 50419-863-51),New,2/1/2019,"
",Business decision to discontinue marketing in the US.,"
","
",Endocrinology/Metabolism,To be Discontinued,2/1/2019,2/1/2019,2/1/2019,"
","
","
","
","
","
","
"
Acarbose (Precose) Tablets,Bayer,888-842-2937,Bottles of 100 Tablets 50 mg (NDC 50419-861-51),New,2/1/2019,"
",Business decision to discontinue marketing in the US.,"
","
",Endocrinology/Metabolism,To be Discontinued,2/1/2019,2/1/2019,2/1/2019,"
","
","
","
","
","
","
"
Acarbose (Precose) Tablets,Bayer,888-842-2937,Bottles of 100 Tablets 100 mg (NDC 50419-862-51),New,2/1/2019,"
",Business decision to discontinue marketing in the US.,"
","
",Endocrinology/Metabolism,To be Discontinued,2/1/2019,2/1/2019,2/1/2019,"
","
","
","
","
","
","
"
Acarbose (Precose) Tablets,Bayer,888-842-2937,Unit Dose 50 mg (NDC 50419-861-48),New,2/1/2019,"
",Business decision to discontinue marketing in the US.,"
","
",Endocrinology/Metabolism,To be Discontinued,2/1/2019,2/1/2019,2/1/2019,"
","
","
","
","
","
","
"
Acetaminophen/Tramadol Hydrochloride (Ultracet) Tablets,Janssen Pharmaceuticals,800-526-7736,325 mg/1 unit || 37.5 mg/1 unit (NDC 50458-650-60),New,4/1/2020,"
","The Company has made a business decision to permanently discontinue Ultracet. Product should be maintained on the formularies until the last batch produced expires (31 Oct 2022), in order to maintain continuity of the reimbursement process.","
","
",Analgesia/Addiction,To be Discontinued,4/1/2020,4/1/2020,4/1/2020,"
","
","
","
","
","
","
"
"Acyclovir Capsules, USP",Teva Pharmaceuticals,800-545-8800,"200 mg, 100 count (NDC 0093-8940-01)",New,3/21/2019,"
",Teva made a business decision to discontinue product.,"
","
",Antiviral,To be Discontinued,3/21/2019,3/21/2019,3/21/2019,"
","
","
","
","
","
","
"
"Acyclovir Capsules, USP",Teva Pharmaceuticals,800-545-8800,"200 mg, 500 count (NDC 0093-8940-05)",New,3/21/2019,"
",Teva made a business decision to discontinue product.,"
","
",Antiviral,To be Discontinued,3/21/2019,3/21/2019,3/21/2019,"
","
","
","
","
","
","
"
"Acyclovir Tablets, USP",Teva Pharmaceuticals,800-545-8800,"400 mg, 100 count (NDC 0093-8943-01)",New,3/21/2019,"
",Teva made a business decision to discontinue product.,"
","
",Antiviral,To be Discontinued,3/21/2019,3/21/2019,3/21/2019,"
","
","
","
","
","
","
"
"Acyclovir Tablets, USP",Teva Pharmaceuticals,800-545-8800,"400 mg, 500 count (NDC 0093-8943-05)",New,3/21/2019,"
",Teva made a business decision to discontinue product.,"
","
",Antiviral,To be Discontinued,3/21/2019,3/21/2019,3/21/2019,"
","
","
","
","
","
","
"
"Acyclovir Tablets, USP",Teva Pharmaceuticals,800-545-8800,"800 mg, 100 count (NDC 0093-8947-01)",New,3/21/2019,"
",Teva made a business decision to discontinue product.,"
","
",Antiviral,To be Discontinued,3/21/2019,3/21/2019,3/21/2019,"
","
","
","
","
","
","
"
"Acyclovir Tablets, USP",Teva Pharmaceuticals,800-545-8800,"800 mg, 500 count, (NDC 0093-8947-05)",New,3/21/2019,"
",Teva made a business decision to discontinue product.,"
","
",Antiviral,To be Discontinued,3/21/2019,3/21/2019,3/21/2019,"
","
","
","
","
","
","
"
Albuterol Sulfate and Ipratropium Bromide Inhalation Solution,Teva Pharmaceuticals,800-545-8800,0.3 mg mg/3 mL and 0.5 mg/3 mL (NDC 0591-3817-39),New,7/3/2019,"
",This product discontinuation is a business related decision.,"
","
",Pulmonary/Allergy,To be Discontinued,7/3/2019,7/3/2019,7/3/2019,"
","
","
","
","
","
","
"
Alfentanil Injection,"Hospira, Inc.",844-646-4398,1 mg/2 mL (500 mcg/mL) Glass Ampul (NDC 00409-2266-02),New,3/25/2020,"
",Discontinuation of the manufacture of the drug. Current supply exhausted.,"
","
",Analgesia/Addiction;Anesthesia,To be Discontinued,3/25/2020,3/25/2020,3/25/2020,"
","
","
","
","
","
","
"
Alfentanil Injection,"Hospira, Inc.",844-646-4398,2.5 mg/5 mL (500 mcg/mL) Glass Ampul (NDC 00409-2266-05),New,3/25/2020,"
",Discontinuation of the manufacture of the drug. Current supply expected to deplete by May/June 2020 timeframe.,"
","
",Analgesia/Addiction;Anesthesia,To be Discontinued,3/25/2020,3/25/2020,3/25/2020,"
","
","
","
","
","
","
"
